mp_id,mp_name,state,constituency,allocated_limit
LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,190289442.0
LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,154773472.11
LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,147000000.0
LS004,Abhijit Gangopadhyay,West Bengal,Tamluk,147000000.0
LS005,Abu Taher Khan,West Bengal,Murshidabad,147000000.0
LS006,Adhikari Soumendu,West Bengal,Kanthi,147000000.0
LS007,Aditya Yadav,Uttar Pradesh,Badaun,147000000.0
LS008,Adv Adoor Prakash,Kerala,Attingal,147000000.0
LS009,Adv Dean Kuriakose,Kerala,Idukki,147000000.0
LS010,Adv Gowaal Kagada Padavi,Maharashtra,Nandurbar(St),147816309.11
LS011,Adv K Francis George,Kerala,Kottayam,188722256.11
LS012,Afzal Ansari,Uttar Pradesh,Ghazipur,220500000.0
LS013,Aga Syed Ruhullah Mehdi,Jammu And Kashmir,Srinagar,147000000.0
LS014,Ajay Bhatt,Uttarakhand,Nainital Udham Singh Nag.,147000000.0
LS015,Ajay Kumar Mandal,Bihar,Bhagalpur,147000000.0
LS016,Ajay Tamta,Uttarakhand,Almora(Sc),147000000.0
LS017,Ajendra Singh Lodhi,Uttar Pradesh,Hamirpur_Up,147000000.0
LS018,Akhilesh Yadav,Uttar Pradesh,Kannauj,147000000.0
LS019,Akshaya Yadav,Uttar Pradesh,Firozabad,147000000.0
LS020,Alfred Kanngam S Arthur,Manipur,Outer Manipur(St),147000000.0
LS021,Alok Kumar Suman,Bihar,Gopalganj (Sc),147000000.0
LS022,Alok Sharma,Madhya Pradesh,Bhopal,147000000.0
LS023,Amar Sharadrao Kale,Maharashtra,Wardha,147000000.0
LS024,Amarsing Tisso,Assam,Diphu (St),147000000.0
LS025,Ambica G Lakshminarayana Valmiki,Andhra Pradesh,Anantapur,201899064.11
LS026,Amol Ramsing Kolhe,Maharashtra,Shirur,147000000.0
LS027,Amraram,Rajasthan,Sikar,165691544.11
LS028,Amrinder Singh Raja Warring,Punjab,Ludhiana,147000000.0
LS029,Anand Bhadauriya,Uttar Pradesh,Dhaurahra,147000000.0
LS030,Anand Kumar,Uttar Pradesh,Bahraich(Sc),147000000.0
LS031,Ananta Nayak,Odisha,Keonjhar(St),147000000.0
LS032,Andimuthu Raja,Tamil Nadu,Nilgiris(Sc),147000000.0
LS033,Andrew J. Syngkon,Meghalaya,Shillong,98000000.0
LS034,Angomcha Bimol Akoijam,Manipur,Inner Manipur,147000000.0
LS035,Anil Baluni,Uttarakhand,Garhwal,147000000.0
LS036,Anil Yeshwant Desai,Maharashtra,Mumbai South Central,147000000.0
LS037,Anita Nagarsingh Chouhan,Madhya Pradesh,Ratlam(St),147000000.0
LS038,Anita Subhadarshini,Odisha,Aska,147000000.0
LS039,Annpurna Devi,Jharkhand,Kodarma,166665931.8
LS040,Anoop Pradhan Balmiki,Uttar Pradesh,Hathras (Sc),147000000.0
LS041,Anto Antony,Kerala,Pathanamthitta,147000000.0
LS042,Anup Sanjay Dhotre,Maharashtra,Akola,147000000.0
LS043,Anurag Sharma,Uttar Pradesh,Jhansi,147000000.0
LS044,Anurag Singh Thakur,Himachal Pradesh,Hamirpur_Hp,149570117.11
LS045,Appalanaidu Kalisetti,Andhra Pradesh,Vizianagaram,147000000.0
LS046,Arun Bharti,Bihar,Jamui(Sc),194924621.11
LS047,Arun Govil,Uttar Pradesh,Meerut,147000000.0
LS048,Arun Nehru,Tamil Nadu,Perambalur,147000000.0
LS049,Aruna. D. K,Telangana,Mahabubnagar,147000000.0
LS050,Arup Chakraborty,West Bengal,Bankura,147000000.0
LS051,Arvind Dharmapuri,Telangana,Nizamabad,281396355.11
LS052,Arvind Ganpat Sawant,Maharashtra,Mumbai South,147000000.0
LS053,Asaduddin Owaisi,Telangana,Hyderabad,147000000.0
LS054,Ashish Dubey,Madhya Pradesh,Jabalpur,147000000.0
LS055,Ashok Kumar Rawat,Uttar Pradesh,Misrikh(Sc),147000000.0
LS056,Ashok Kumar Yadav,Bihar,Madhubani,147000000.0
LS057,Asit Kumar Mal,West Bengal,Bolpur(Sc),275694456.74
LS058,Atul Garg,Uttar Pradesh,Ghaziabad,155336470.0
LS059,Avimanyu Sethi,Odisha,Bhadrak(Sc),147000000.0
LS060,Awadhesh Prasad,Uttar Pradesh,Faizabad,147000000.0
LS061,Azad Kirti Jha,West Bengal,Bardhaman-Durgapur,179658399.98
LS062,B K Parthasarathi,Andhra Pradesh,Hindupur,160491894.11
LS063,Babu Singh Kushwaha,Uttar Pradesh,Jaunpur,147000000.0
LS064,Bachhav Shobha Dinesh,Maharashtra,Dhule,147000000.0
LS065,Bag Mitali,West Bengal,Arambag(Sc),147000000.0
LS066,Baijayant Panda,Odisha,Kendrapara,147000000.0
LS067,Bajrang Manohar Sonwane,Maharashtra,Beed,165899107.19
LS068,Balabhadra Majhi,Odisha,Nabarangpur(St),147413962.11
LS069,Balashowry Vallabbhaneni,Andhra Pradesh,Machilipatnam,147000000.0
LS070,Balram Naik Porika,Telangana,Mahabubabad,147000000.0
LS071,Balwant Baswant Wankhade,Maharashtra,Amravati(Sc),198293678.0
LS072,Balya Mama Suresh Gopinath Mhatre,Maharashtra,Bhiwandi,147000000.0
LS073,Bansuri Swaraj,Delhi,New Delhi,154306950.0
LS074,Bapi Haldar,West Bengal,Mathurapur(Sc),147000000.0
LS075,Basavaraj Bommai,Karnataka,Haveri,147000000.0
LS076,Bastipati Nagaraju Panchalingala,Andhra Pradesh,Kurnool,159998515.11
LS077,Bhagirath Chaudhary,Rajasthan,Ajmer,147000000.0
LS078,Bhajan Lal Jatav,Rajasthan,Karauli-Dholpur(Sc),147000000.0
LS079,Bharat Singh Kushwah,Madhya Pradesh,Gwalior,151455276.04
LS080,Bharatbhai Manubhai Sutariya,Gujarat,Amreli,147000000.0
LS081,Bharatsinhji Shankarji Dabhi,Gujarat,Patan,147000000.0
LS082,Bharti Pardhi,Madhya Pradesh,Balaghat,154398389.01
LS083,Bhaskar Murlidhar Bhagare,Maharashtra,Dindori(St),147000000.0
LS084,Bhausaheb Rajaram Wakchaure,Maharashtra,Shirdi(Sc),147000000.0
LS085,Bhojraj Nag,Chhattisgarh,Kanker(St),164672734.11
LS086,Bhola Singh,Uttar Pradesh,Bulandshahr(Sc),147000000.0
LS087,Bhumare Sandipanrao Asaram,Maharashtra,Aurangabad_Mh,147000000.0
LS088,Bhupathiraju Srinivasa Varma,Andhra Pradesh,Narasapuram,147000000.0
LS089,Bhupender Yadav,Rajasthan,Alwar,147000000.0
LS090,Bibhu Prasad Tarai,Odisha,Jagatsinghpur(Sc),147000000.0
LS091,Bidyut Baran Mahato,Jharkhand,Jamshedpur,147000000.0
LS092,Bijuli Kalita Medhi,Assam,Guwahati,147000000.0
LS093,Biplab Kumar Deb,Tripura,Tripura West,147000000.0
LS094,Bishnu Pada Ray,Andaman And Nicobar Islands,Andaman And Nicobar Islands,147000000.0
LS095,Brijendra Singh Ola,Rajasthan,Jhunjhunu,147000000.0
LS096,Brijmohan Agrawal,Chhattisgarh,Raipur,153766451.11
LS097,Bunty Vivek Sahu,Madhya Pradesh,Chhindwara,147000000.0
LS098,C R Patil,Gujarat,Navsari,158532494.36
LS099,C.M.Ramesh,Andhra Pradesh,Anakapalle,202531656.11
LS100,Captain Brijesh Chowta,Karnataka,Dakshina Kannada,147000000.0
LS101,Captain Viriato Fernandes,Goa,South Goa,147000000.0
LS102,Chamala Kiran Kumar Reddy,Telangana,Bhongir,147000000.0
LS103,Chandan Chauhan,Uttar Pradesh,Bijnor,147000000.0
LS104,Chandra Prakash Joshi,Rajasthan,Chittorgarh,147000000.0
LS105,Chandra Shekhar,Uttar Pradesh,Nagina(Sc),147000000.0
LS106,Chandubhai Chhaganbhai Shihora,Gujarat,Surendranagar,147000000.0
