work_id,mp_id,mp_name,state,constituency,district,allocated_limit,work_category,work_description,implementing_agency,sanction_date,cost_sanctioned,expenditure,completion_date,status,synthetic_ground_truth_fraud,synthetic_issue_tags,record_source
W000001,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Community Hall Construction,Community Hall Construction in Hingoli District ward 9,Zilla Parishad Agency 3,2024-03-07,917799.25,758484.2,2024-09-25,In Progress,0,,SYNTHETIC_DEMO_DATA
W000002,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Library / Reading Room,Library / Reading Room in Hingoli District ward 15,State PSU Agency 5,2022-05-21,479291.15,401777.14,2022-11-10,In Progress,0,,SYNTHETIC_DEMO_DATA
W000003,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Library / Reading Room,Library / Reading Room in Hingoli District ward 19,Contractor Firm 3,2021-10-11,614849.14,528548.44,2022-05-08,In Progress,0,,SYNTHETIC_DEMO_DATA
W000004,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Hingoli District ward 5,Contractor Firm 11,2024-10-25,513699.59,418765.87,2025-06-30,In Progress,0,,SYNTHETIC_DEMO_DATA
W000005,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Hingoli District ward 15,Contractor Firm 7,2024-02-08,1101915.39,920442.17,2024-07-26,In Progress,0,,SYNTHETIC_DEMO_DATA
W000006,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Community Hall Construction,Community Hall Construction in Hingoli District ward 9,Contractor Firm 15,2021-08-17,1394054.32,1283940.2,2022-02-02,Completed,0,,SYNTHETIC_DEMO_DATA
W000007,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Drainage System,Drainage System in Hingoli District ward 9,Contractor Firm 7,2023-11-06,684625.36,648772.68,2024-07-14,Completed,0,,SYNTHETIC_DEMO_DATA
W000008,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Drinking Water Facility,Drinking Water Facility in Hingoli District ward 20,Cooperative Board Agency 7,2021-11-27,669823.77,544985.12,2022-06-29,In Progress,0,,SYNTHETIC_DEMO_DATA
W000009,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Hingoli District ward 20,Contractor Firm 1,2021-08-18,697375.25,618915.83,2022-01-23,In Progress,0,,SYNTHETIC_DEMO_DATA
W000010,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Solar Street Lighting,Solar Street Lighting in Hingoli District ward 2,Panchayati Raj Agency 8,2021-06-11,442199.05,430331.36,2022-01-01,Completed,0,,SYNTHETIC_DEMO_DATA
W000011,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Drinking Water Facility,Drinking Water Facility in Hingoli District ward 18,Contractor Firm 15,2024-09-13,660762.61,533676.36,2025-02-19,In Progress,0,,SYNTHETIC_DEMO_DATA
W000012,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Sports Facility Development,Sports Facility Development in Hingoli District ward 20,Contractor Firm 4,2024-01-10,1075203.28,1066773.51,2024-06-17,Completed,0,,SYNTHETIC_DEMO_DATA
W000013,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Library / Reading Room,Library / Reading Room in Hingoli District ward 12,Contractor Firm 5,2023-07-14,644430.14,630197.96,2024-01-20,Completed,0,,SYNTHETIC_DEMO_DATA
W000014,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Drinking Water Facility,Drinking Water Facility in Hingoli District ward 18,Panchayati Raj Agency 8,2021-01-15,353277.84,321290.94,2021-04-18,In Progress,0,,SYNTHETIC_DEMO_DATA
W000015,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Drinking Water Facility,Drinking Water Facility in Hingoli District ward 2,Contractor Firm 18,2023-11-19,522592.87,445611.95,2024-02-29,In Progress,0,,SYNTHETIC_DEMO_DATA
W000016,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,School Building Repair,School Building Repair in Hingoli District ward 19,Contractor Firm 9,2023-08-27,701477.68,620097.59,2024-01-28,In Progress,0,,SYNTHETIC_DEMO_DATA
W000017,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Hingoli District ward 14,Contractor Firm 4,2021-04-21,739878.62,653124.47,2021-09-02,In Progress,0,,SYNTHETIC_DEMO_DATA
W000018,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Crematorium/Cemetery Development,Crematorium/Cemetery Development in Hingoli District ward 11,Contractor Firm 16,2022-05-25,502182.78,486900.33,2022-12-05,Completed,0,,SYNTHETIC_DEMO_DATA
W000019,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,School Building Repair,School Building Repair in Hingoli District ward 9,Contractor Firm 5,2021-06-04,621275.75,518738.8,2021-10-21,In Progress,0,,SYNTHETIC_DEMO_DATA
W000020,LS001,Aashtikar Patil Nagesh Bapurao,Maharashtra,Hingoli,Hingoli District,190289442.0,Sports Facility Development,Sports Facility Development in Hingoli District ward 18,Contractor Firm 17,2021-07-11,889776.98,696914.91,2021-11-04,In Progress,0,,SYNTHETIC_DEMO_DATA
W000021,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Baramullah District ward 2,NGO Partner Agency 6,2023-03-11,965035.39,833186.55,2023-11-11,In Progress,0,,SYNTHETIC_DEMO_DATA
W000022,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Drainage System,Drainage System in Baramullah District ward 18,Contractor Firm 12,2021-11-14,818766.51,768043.77,2022-05-02,Completed,0,,SYNTHETIC_DEMO_DATA
W000023,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,School Building Repair,School Building Repair in Baramullah District ward 18,PWD Agency 2,2021-04-28,721144.01,681159.9,2021-10-28,Completed,0,,SYNTHETIC_DEMO_DATA
W000024,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Community Hall Construction,Community Hall Construction in Baramullah District ward 6,PWD Agency 2,2021-06-14,1311263.11,1299948.69,2021-10-07,Completed,0,,SYNTHETIC_DEMO_DATA
W000025,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Road Construction/Repair,Road Construction/Repair in Baramullah District ward 13,Municipal Corp. Agency 4,2024-03-12,1235779.59,1219901.25,2024-08-14,Completed,0,,SYNTHETIC_DEMO_DATA
W000026,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,School Building Repair,School Building Repair in Baramullah District ward 19,Contractor Firm 9,2022-06-19,814425.72,728920.96,2022-12-20,In Progress,0,,SYNTHETIC_DEMO_DATA
W000027,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,School Building Repair,School Building Repair in Baramullah District ward 5,Contractor Firm 12,2023-07-26,914310.28,843003.38,2023-12-01,Completed,0,,SYNTHETIC_DEMO_DATA
W000028,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Solar Street Lighting,Solar Street Lighting in Baramullah District ward 20,Contractor Firm 9,2021-05-31,422331.09,421968.4,2021-12-13,Completed,0,,SYNTHETIC_DEMO_DATA
W000029,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Baramullah District ward 3,Panchayati Raj Agency 8,2021-11-20,413556.18,356194.26,2022-04-21,In Progress,0,,SYNTHETIC_DEMO_DATA
W000030,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Sports Facility Development,Sports Facility Development in Baramullah District ward 17,District Rural Dev. Agency 1,2024-02-10,1027056.26,952009.16,2024-07-25,Completed,0,,SYNTHETIC_DEMO_DATA
W000031,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Drainage System,Drainage System in Baramullah District ward 9,Municipal Corp. Agency 4,2024-02-08,944456.86,921541.31,2024-07-09,Completed,0,,SYNTHETIC_DEMO_DATA
W000032,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Road Construction/Repair,Road Construction/Repair in Baramullah District ward 7,Contractor Firm 12,2022-06-25,1625371.17,1494581.37,2023-03-15,In Progress,0,,SYNTHETIC_DEMO_DATA
W000033,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Anganwadi Centre Upgrade,Anganwadi Centre Upgrade in Baramullah District ward 3,Contractor Firm 11,2022-07-21,510108.56,445420.0,2023-01-16,In Progress,0,,SYNTHETIC_DEMO_DATA
W000034,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Community Hall Construction,Community Hall Construction in Baramullah District ward 9,NGO Partner Agency 6,2024-02-04,828889.43,781701.41,2024-06-15,Completed,0,,SYNTHETIC_DEMO_DATA
W000035,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Library / Reading Room,Library / Reading Room in Baramullah District ward 5,Contractor Firm 8,2023-01-27,487160.03,383846.15,2023-09-01,In Progress,0,,SYNTHETIC_DEMO_DATA
W000036,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Public Toilet Complex,Public Toilet Complex in Baramullah District ward 12,Contractor Firm 16,2021-03-23,370040.38,367776.91,2021-07-26,Completed,0,,SYNTHETIC_DEMO_DATA
W000037,LS002,Abdul Rashid Sheikh,Jammu And Kashmir,Baramullah,Baramullah District,154773472.11,Solar Street Lighting,Solar Street Lighting in Baramullah District ward 18,Contractor Firm 18,2024-06-25,237949.11,206873.67,2024-12-31,In Progress,0,,SYNTHETIC_DEMO_DATA
W000038,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Road Construction/Repair,Road Construction/Repair in Aurangabad_Br District ward 1,NGO Partner Agency 6,2022-11-12,3222675.54,3035902.75,2023-02-11,Completed,0,,SYNTHETIC_DEMO_DATA
W000039,LS003,Abhay Kumar Sinha,Bihar,Aurangabad_Br,Aurangabad_Br District,147000000.0,Health Sub-Centre Upgrade,Health Sub-Centre Upgrade in Aurangabad_Br District ward 9,NGO Partner Agency 6,2021-08-10,1334400.46,1271980.4,2021-12-08,Completed,0,,SYNTHETIC_DEMO_DATA
