mp_id,sr_no,house,state,mp_name,membership_type,tenure,constituency,allocated_limit,source
LS001,1,Lok Sabha,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO (2024-2029),Elected MP,,Hingoli,190289442.0,REAL_GOVT_PDF
LS002,2,Lok Sabha,Jammu And Kashmir,ABDUL RASHID SHEIKH (2024-2029),Elected MP,,Baramullah,154773472.11,REAL_GOVT_PDF
LS003,3,Lok Sabha,Bihar,ABHAY KUMAR SINHA (2024-2029),Elected MP,,Aurangabad_Br,147000000.0,REAL_GOVT_PDF
LS004,4,Lok Sabha,West Bengal,ABHIJIT GANGOPADHYAY (2024-2029),Elected MP,,Tamluk,147000000.0,REAL_GOVT_PDF
LS005,5,Lok Sabha,West Bengal,Abu Taher Khan (2024-2029),Elected MP,,Murshidabad,147000000.0,REAL_GOVT_PDF
LS006,6,Lok Sabha,West Bengal,ADHIKARI SOUMENDU (2024-2029),Elected MP,,Kanthi,147000000.0,REAL_GOVT_PDF
LS007,7,Lok Sabha,Uttar Pradesh,ADITYA YADAV (2024-2029),Elected MP,,Badaun,147000000.0,REAL_GOVT_PDF
LS008,8,Lok Sabha,Kerala,Adv Adoor Prakash (2024-2029),Elected MP,,Attingal,147000000.0,REAL_GOVT_PDF
LS009,9,Lok Sabha,Kerala,Adv Dean Kuriakose (2024-2029),Elected MP,,Idukki,147000000.0,REAL_GOVT_PDF
LS010,10,Lok Sabha,Maharashtra,ADV GOWAAL KAGADA PADAVI (2024-2029),Elected MP,,Nandurbar(St),147816309.11,REAL_GOVT_PDF
LS011,11,Lok Sabha,Kerala,ADV K FRANCIS GEORGE (2024-2029),Elected MP,,Kottayam,188722256.11,REAL_GOVT_PDF
LS012,12,Lok Sabha,Uttar Pradesh,AFZAL ANSARI (2024-2029),Elected MP,,Ghazipur,220500000.0,REAL_GOVT_PDF
LS013,13,Lok Sabha,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI (2024-2029),Elected MP,,Srinagar,147000000.0,REAL_GOVT_PDF
LS014,14,Lok Sabha,Uttarakhand,Ajay Bhatt (2024-2029),Elected MP,,Nainital Udham Singh Nag.,147000000.0,REAL_GOVT_PDF
LS015,15,Lok Sabha,Bihar,Ajay Kumar Mandal (2024-2029),Elected MP,,Bhagalpur,147000000.0,REAL_GOVT_PDF
LS016,16,Lok Sabha,Uttarakhand,Ajay Tamta (2024-2029),Elected MP,,Almora(Sc),147000000.0,REAL_GOVT_PDF
LS017,17,Lok Sabha,Uttar Pradesh,AJENDRA SINGH LODHI (2024-2029),Elected MP,,Hamirpur_Up,147000000.0,REAL_GOVT_PDF
LS018,18,Lok Sabha,Uttar Pradesh,AKHILESH YADAV (2024-2029),Elected MP,,Kannauj,147000000.0,REAL_GOVT_PDF
LS019,19,Lok Sabha,Uttar Pradesh,AKSHAYA YADAV (2024-2029),Elected MP,,Firozabad,147000000.0,REAL_GOVT_PDF
LS020,20,Lok Sabha,Manipur,ALFRED KANNGAM S ARTHUR (2024-2029),Elected MP,,Outer Manipur(St),147000000.0,REAL_GOVT_PDF
LS021,21,Lok Sabha,Bihar,Alok Kumar Suman (2024-2029),Elected MP,,Gopalganj (Sc),147000000.0,REAL_GOVT_PDF
LS022,22,Lok Sabha,Madhya Pradesh,ALOK SHARMA (2024-2029),Elected MP,,Bhopal,147000000.0,REAL_GOVT_PDF
LS023,23,Lok Sabha,Maharashtra,AMAR SHARADRAO KALE (2024-2029),Elected MP,,Wardha,147000000.0,REAL_GOVT_PDF
LS024,24,Lok Sabha,Assam,AMARSING TISSO (2024-2029),Elected MP,,Diphu (St),147000000.0,REAL_GOVT_PDF
LS025,25,Lok Sabha,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI (2024-2029),Elected MP,,Anantapur,201899064.11,REAL_GOVT_PDF
LS026,26,Lok Sabha,Maharashtra,Amol Ramsing Kolhe (2024-2029),Elected MP,,Shirur,147000000.0,REAL_GOVT_PDF
LS027,27,Lok Sabha,Rajasthan,AMRARAM (2024-2029),Elected MP,,Sikar,165691544.11,REAL_GOVT_PDF
LS028,28,Lok Sabha,Punjab,AMRINDER SINGH RAJA WARRING (2024-2029),Elected MP,,Ludhiana,147000000.0,REAL_GOVT_PDF
LS029,29,Lok Sabha,Uttar Pradesh,ANAND BHADAURIYA (2024-2029),Elected MP,,Dhaurahra,147000000.0,REAL_GOVT_PDF
LS030,30,Lok Sabha,Uttar Pradesh,ANAND KUMAR (2024-2029),Elected MP,,Bahraich(Sc),147000000.0,REAL_GOVT_PDF
LS031,31,Lok Sabha,Odisha,ANANTA NAYAK (2024-2029),Elected MP,,Keonjhar(St),147000000.0,REAL_GOVT_PDF
LS032,32,Lok Sabha,Tamil Nadu,Andimuthu Raja (2024-2029),Elected MP,,Nilgiris(Sc),147000000.0,REAL_GOVT_PDF
LS033,33,Lok Sabha,Meghalaya,ANDREW J. SYNGKON (2024-2029),Elected MP,,Shillong,98000000.0,REAL_GOVT_PDF
LS034,34,Lok Sabha,Manipur,ANGOMCHA BIMOL AKOIJAM (2024-2029),Elected MP,,Inner Manipur,147000000.0,REAL_GOVT_PDF
LS035,35,Lok Sabha,Uttarakhand,ANIL BALUNI (2024-2029),Elected MP,,Garhwal,147000000.0,REAL_GOVT_PDF
LS036,36,Lok Sabha,Maharashtra,ANIL YESHWANT DESAI (2024-2029),Elected MP,,Mumbai South Central,147000000.0,REAL_GOVT_PDF
LS037,37,Lok Sabha,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN (2024-2029),Elected MP,,Ratlam(St),147000000.0,REAL_GOVT_PDF
LS038,38,Lok Sabha,Odisha,ANITA SUBHADARSHINI (2024-2029),Elected MP,,Aska,147000000.0,REAL_GOVT_PDF
LS039,39,Lok Sabha,Jharkhand,Annpurna Devi (2024-2029),Elected MP,,Kodarma,166665931.8,REAL_GOVT_PDF
LS040,40,Lok Sabha,Uttar Pradesh,ANOOP PRADHAN BALMIKI (2024-2029),Elected MP,,Hathras (Sc),147000000.0,REAL_GOVT_PDF
LS041,41,Lok Sabha,Kerala,Anto Antony (2024-2029),Elected MP,,Pathanamthitta,147000000.0,REAL_GOVT_PDF
LS042,42,Lok Sabha,Maharashtra,ANUP SANJAY DHOTRE (2024-2029),Elected MP,,Akola,147000000.0,REAL_GOVT_PDF
LS043,43,Lok Sabha,Uttar Pradesh,Anurag Sharma (2024-2029),Elected MP,,Jhansi,147000000.0,REAL_GOVT_PDF
LS044,44,Lok Sabha,Himachal Pradesh,Anurag Singh Thakur (2024-2029),Elected MP,,Hamirpur_Hp,149570117.11,REAL_GOVT_PDF
LS045,45,Lok Sabha,Andhra Pradesh,Appalanaidu Kalisetti (2024-2029),Elected MP,,Vizianagaram,147000000.0,REAL_GOVT_PDF
LS046,46,Lok Sabha,Bihar,ARUN BHARTI (2024-2029),Elected MP,,Jamui(Sc),194924621.11,REAL_GOVT_PDF
LS047,47,Lok Sabha,Uttar Pradesh,ARUN GOVIL (2024-2029),Elected MP,,Meerut,147000000.0,REAL_GOVT_PDF
LS048,48,Lok Sabha,Tamil Nadu,ARUN NEHRU (2024-2029),Elected MP,,Perambalur,147000000.0,REAL_GOVT_PDF
LS049,49,Lok Sabha,Telangana,ARUNA. D. K (2024-2029),Elected MP,,Mahabubnagar,147000000.0,REAL_GOVT_PDF
LS050,50,Lok Sabha,West Bengal,ARUP CHAKRABORTY (2024-2029),Elected MP,,Bankura,147000000.0,REAL_GOVT_PDF
LS051,51,Lok Sabha,Telangana,Arvind Dharmapuri (2024-2029),Elected MP,,Nizamabad,281396355.11,REAL_GOVT_PDF
LS052,52,Lok Sabha,Maharashtra,Arvind Ganpat Sawant (2024-2029),Elected MP,,Mumbai South,147000000.0,REAL_GOVT_PDF
LS053,53,Lok Sabha,Telangana,Asaduddin Owaisi (2024-2029),Elected MP,,Hyderabad,147000000.0,REAL_GOVT_PDF
LS054,54,Lok Sabha,Madhya Pradesh,ASHISH DUBEY (2024-2029),Elected MP,,Jabalpur,147000000.0,REAL_GOVT_PDF
LS055,55,Lok Sabha,Uttar Pradesh,Ashok Kumar Rawat (2024-2029),Elected MP,,Misrikh(Sc),147000000.0,REAL_GOVT_PDF
LS056,56,Lok Sabha,Bihar,Ashok Kumar Yadav (2024-2029),Elected MP,,Madhubani,147000000.0,REAL_GOVT_PDF
