mp_id,sr_no,house,state,mp_name,membership_type,tenure,constituency,allocated_limit,source
RS001,1,Rajya Sabha,Telangana,Dr. Abhishek Manu Singhvi,Elected MP,2026-2032,Rajya Sabha — Telangana,73421449.0,REAL_GOVT_PDF
RS002,2,Rajya Sabha,Maharashtra,Dr. Ajeet Madhavrao Gopchade,Elected MP,2024-2030,Rajya Sabha — Maharashtra,147000000.0,REAL_GOVT_PDF
RS003,3,Rajya Sabha,Rajasthan,Dr. Alka Singh,Elected MP,2026-2032,Rajya Sabha — Rajasthan,49000000.0,REAL_GOVT_PDF
RS004,4,Rajya Sabha,Tamil Nadu,Dr. Anbumani Ramadoss,Elected MP,2026-2032,Rajya Sabha — Tamil Nadu,49356476.5,REAL_GOVT_PDF
RS005,5,Rajya Sabha,Maharashtra,Dr. Anil Sukhdeorao Bonde,Elected MP,2022-2028,Rajya Sabha — Maharashtra,196063957.11,REAL_GOVT_PDF
RS006,6,Rajya Sabha,Punjab,Dr. Ashok Kumar Mittal,Elected MP,2022-2028,Rajya Sabha — Punjab,222487632.14,REAL_GOVT_PDF
RS007,7,Rajya Sabha,Bihar,Dr. Bhim Singh,Elected MP,2024-2030,Rajya Sabha — Bihar,186200000.0,REAL_GOVT_PDF
RS008,8,Rajya Sabha,Karnataka,Dr. Dharmasthala Veerendra Heggade,Nominated MP,2022-2028,Rajya Sabha — Karnataka,196063957.11,REAL_GOVT_PDF
RS009,9,Rajya Sabha,Bihar,Dr. Dharmshila Gupta,Elected MP,2024-2030,Rajya Sabha — Bihar,186200000.0,REAL_GOVT_PDF
RS010,10,Rajya Sabha,Uttar Pradesh,Dr. Dinesh Sharma,Elected MP,2023-2026,Rajya Sabha — Uttar Pradesh,147000000.0,REAL_GOVT_PDF
RS011,11,Rajya Sabha,Bihar,Dr. Faiyaz Ahmad,Elected MP,2022-2028,Rajya Sabha — Bihar,235263957.11,REAL_GOVT_PDF
RS012,12,Rajya Sabha,Kerala,Dr. John Brittas,Elected MP,2021-2027,Rajya Sabha — Kerala,245063957.11,REAL_GOVT_PDF
RS013,13,Rajya Sabha,Maharashtra,Dr. Jyoti Nagnath Waghmare,Elected MP,2026-2032,Rajya Sabha — Maharashtra,49000000.0,REAL_GOVT_PDF
RS014,14,Rajya Sabha,Uttar Pradesh,Dr. K. Laxman,Elected MP,2022-2028,Rajya Sabha — Uttar Pradesh,197637007.11,REAL_GOVT_PDF
RS015,15,Rajya Sabha,Uttarakhand,Dr. Kalpana Saini,Elected MP,2022-2028,Rajya Sabha — Uttarakhand,200830405.8,REAL_GOVT_PDF
RS016,16,Rajya Sabha,Madhya Pradesh,Dr. Kavita Patidar,Elected MP,2022-2028,Rajya Sabha — Madhya Pradesh,197118521.35000002,REAL_GOVT_PDF
RS017,17,Rajya Sabha,Madhya Pradesh,Dr. L. Murugan,Elected MP,2024-2030,Rajya Sabha — Madhya Pradesh,147000000.0,REAL_GOVT_PDF
RS018,18,Rajya Sabha,Uttar Pradesh,Dr. Laxmikant Bajpayee,Elected MP,2022-2028,Rajya Sabha — Uttar Pradesh,196000000.0,REAL_GOVT_PDF
RS019,19,Rajya Sabha,Tamil Nadu,Dr. M. Dhanapal,Elected MP,2025-2031,Rajya Sabha — Tamil Nadu,89248285.42,REAL_GOVT_PDF
RS020,20,Rajya Sabha,Tamil Nadu,Dr. M. Thambi Durai,Elected MP,2026-2032,Rajya Sabha — Tamil Nadu,49356476.5,REAL_GOVT_PDF
RS021,21,Rajya Sabha,Maharashtra,Dr. Medha Vishram Kulkarni,Elected MP,2024-2030,Rajya Sabha — Maharashtra,147000000.0,REAL_GOVT_PDF
RS022,22,Rajya Sabha,Delhi,Dr. Meenakshi Jain,Nominated MP,2025-2031,Rajya Sabha — Delhi,73500000.0,REAL_GOVT_PDF
RS023,23,Rajya Sabha,Gujarat,Dr. Mukeshbhai J. Rathwa,Elected MP,2026-2032,Rajya Sabha — Gujarat,49000000.0,REAL_GOVT_PDF
RS024,24,Rajya Sabha,Gujarat,Dr. Parmar Jashvantsinh Salamsinh,Elected MP,2024-2030,Rajya Sabha — Gujarat,147000000.0,REAL_GOVT_PDF
RS025,25,Rajya Sabha,Uttar Pradesh,Dr. Radha Mohan Das Agrawal,Elected MP,2022-2028,Rajya Sabha — Uttar Pradesh,203626524.67000002,REAL_GOVT_PDF
RS026,26,Rajya Sabha,Punjab,Dr. Sandeep Kumar Pathak,Elected MP,2022-2028,Rajya Sabha — Punjab,232203454.24,REAL_GOVT_PDF
RS027,27,Rajya Sabha,Uttar Pradesh,Dr. Sangeeta Balwant,Elected MP,2024-2030,Rajya Sabha — Uttar Pradesh,147000000.0,REAL_GOVT_PDF
RS028,28,Rajya Sabha,Odisha,Dr. Santrupt Misra,Elected MP,2026-2032,Rajya Sabha — Odisha,49000000.0,REAL_GOVT_PDF
RS029,29,Rajya Sabha,Jharkhand,Dr. Sarfraz Ahmad,Elected MP,2024-2030,Rajya Sabha — Jharkhand,178564551.09,REAL_GOVT_PDF
RS030,30,Rajya Sabha,Odisha,Dr. Sasmit Patra,Elected MP,2022-2028,Rajya Sabha — Odisha,196063957.11,REAL_GOVT_PDF
RS031,31,Rajya Sabha,Rajasthan,Dr. Satish Poonia,Elected MP,2026-2032,Rajya Sabha — Rajasthan,49000000.0,REAL_GOVT_PDF
RS032,32,Rajya Sabha,Himachal Pradesh,Dr. Sikander Kumar,Elected MP,2022-2028,Rajya Sabha — Himachal Pradesh,207863957.11,REAL_GOVT_PDF
RS033,33,Rajya Sabha,Uttar Pradesh,Dr. Sudhanshu Trivedi,Elected MP,2024-2030,Rajya Sabha — Uttar Pradesh,147000000.0,REAL_GOVT_PDF
RS034,34,Rajya Sabha,Karnataka,Dr. Syed Naseer Hussain,Elected MP,2024-2030,Rajya Sabha — Karnataka,147000000.0,REAL_GOVT_PDF
RS035,35,Rajya Sabha,Kerala,Dr. V. Sivadasan,Elected MP,2021-2027,Rajya Sabha — Kerala,276720323.27,REAL_GOVT_PDF
RS036,36,Rajya Sabha,Punjab,Dr. Vikramjit Singh Sahney,Elected MP,2022-2028,Rajya Sabha — Punjab,198656208.57000002,REAL_GOVT_PDF
RS037,37,Rajya Sabha,West Bengal,Ms. Dola Sen,Elected MP,2023-2029,Rajya Sabha — West Bengal,171500000.0,REAL_GOVT_PDF
RS038,38,Rajya Sabha,Delhi,Ms. Swati Maliwal,Elected MP,2024-2030,Rajya Sabha — Delhi,147000000.0,REAL_GOVT_PDF
RS039,39,Rajya Sabha,Bihar,Prof. Manoj Kumar Jha,Elected MP,2024-2030,Rajya Sabha — Bihar,191620112.11,REAL_GOVT_PDF
RS040,40,Rajya Sabha,Uttar Pradesh,Prof. Ram Gopal Yadav,Elected MP,2020-2026,Rajya Sabha — Uttar Pradesh,221271395.11,REAL_GOVT_PDF
